y,ba,ca,sr,cd,ti,zr,sn,hf,,features,hf,rA,rB,t,tA.B,TA.B,dA.O,dB.O,ao,AO,AEN,BEN,en,EN,AEN.P,BEN.P,enp,ENP,AEN.MB,BEN.MB,enmb,ENMB,DA,DB,d,D,ACVW,BCVW,cvw,CVW,AEVW,BEVW,evw,EVW,AD,BD,d1,D1,AEC,BEC,ec,EC,ATC,BTC,tc,TC,AHA,BHA,ha,HA,AHF,BHF,hf0,HF,AEA,BEA,ea,EA,AAV,BAV,av,AV,AP,BP,p,P,AAR,BAR,ar,AR,AAN,BAN,an,AN,ARAM,BRAM,ram,RAM,APE,BPE,pe,PE,NCT,NTO,ZeffA,ZeffB,z,Z,TEA,TEB,te,TE
0.095,98,0,0,2,100,0,0,0,,,0,160.4,60.5,1.059435981,9704.2,2.651239669,228.228,181.5,41423.382,1.257454545,243.86,345,84131.7,0.70684058,90.6,154,13952.4,0.588311688,108.64,186,20207.04,0.584086022,5.6,25,140,0.224,269,215,57835,1.251162791,303.64,244,74088.16,1.24442623,372.06,450,167427,0.8268,3224.9,2400,7739760,1.343708333,1996.4,2190,4372116,0.911598174,17864,46990,839429360,0.380165993,710.18,1415,1004904.7,0.501893993,50998.522,65899.5,3360777101,0.773883292,3744,1062.3,3977251.2,3.524428128,3905,1460,5701300,2.674657534,22256,14700,327163200,1.514013605,5584,2200,12284800,2.538181818,13682.868,4786.7,65495784.26,2.858517977,598,400,239200,1.495,0,0,774.6,814,630524.4,0.951597052,2080.4,860,1789144,2.419069767
0.12,95,0,0,5,100,0,0,0,,,0,159.5,60.5,1.056261905,9649.75,2.636363636,227.07,181.5,41213.205,1.25107438,249.65,345,86129.25,0.723623188,93,154,14322,0.603896104,109.6,186,20385.6,0.589247312,6.5,25,162.5,0.26,267.5,215,57512.5,1.244186047,301.6,244,73590.4,1.236065574,387.15,450,174217.5,0.860333333,3547.25,2400,8513400,1.478020833,2231,2190,4885890,1.018721461,17660,46990,829843400,0.375824644,707.45,1415,1001041.75,0.499964664,52092.955,65899.5,3432899688,0.790490899,3669,1062.3,3897578.7,3.453826603,3807.5,1460,5558950,2.607876712,22040,14700,323988000,1.499319728,5560,2200,12232000,2.527272727,13608.12,4786.7,65137988,2.842902208,595,400,238000,1.4875,0,0,799.5,814,650793,0.982186732,2111,860,1815460,2.454651163
0.089,90,0,0,10,100,0,0,0,,,0,158,60.5,1.050971779,9559,2.611570248,225.14,181.5,40862.91,1.240440771,259.3,345,89458.5,0.751594203,97,154,14938,0.62987013,111.2,186,20683.2,0.597849462,8,25,200,0.32,265,215,56975,1.23255814,298.2,244,72760.8,1.222131148,412.3,450,185535,0.916222222,4084.5,2400,9802800,1.701875,2622,2190,5742180,1.197260274,17320,46990,813866800,0.368589062,702.9,1415,994603.5,0.496749117,53917.01,65899.5,3553104000,0.818170244,3544,1062.3,3764791.2,3.336157394,3645,1460,5321700,2.496575342,21680,14700,318696000,1.474829932,5520,2200,12144000,2.509090909,13483.54,4786.7,64541660.92,2.816875927,590,400,236000,1.475,0,0,841,814,684574,1.033169533,2162,860,1859320,2.513953488
0.069,85,0,0,15,100,0,0,0,,,0,156.5,60.5,1.045681652,9468.25,2.58677686,223.21,181.5,40512.615,1.229807163,268.95,345,92787.75,0.779565217,101,154,15554,0.655844156,112.8,186,20980.8,0.606451613,9.5,25,237.5,0.38,262.5,215,56437.5,1.220930233,294.8,244,71931.2,1.208196721,437.45,450,196852.5,0.972111111,4621.75,2400,11092200,1.925729167,3013,2190,6598470,1.375799087,16980,46990,797890200,0.361353479,698.35,1415,988165.25,0.493533569,55741.065,65899.5,3673308313,0.845849589,3419,1062.3,3632003.7,3.218488186,3482.5,1460,5084450,2.385273973,21320,14700,313404000,1.450340136,5480,2200,12056000,2.490909091,13358.96,4786.7,63945333.83,2.790849646,585,400,234000,1.4625,0,0,882.5,814,718355,1.084152334,2213,860,1903180,2.573255814
0.02,80,0,0,20,100,0,0,0,,,0,155,60.5,1.040391526,9377.5,2.561983471,221.28,181.5,40162.32,1.219173554,278.6,345,96117,0.807536232,105,154,16170,0.681818182,114.4,186,21278.4,0.615053763,11,25,275,0.44,260,215,55900,1.209302326,291.4,244,71101.6,1.194262295,462.6,450,208170,1.028,5159,2400,12381600,2.149583333,3404,2190,7454760,1.5543379,16640,46990,781913600,0.354117897,693.8,1415,981727,0.490318021,57565.12,65899.5,3793512625,0.873528934,3294,1062.3,3499216.2,3.100818978,3320,1460,4847200,2.273972603,20960,14700,308112000,1.42585034,5440,2200,11968000,2.472727273,13234.38,4786.7,63349006.75,2.764823365,580,400,232000,1.45,0,0,924,814,752136,1.135135135,2264,860,1947040,2.63255814
0.059,75,0,0,25,100,0,0,0,,,0,153.5,60.5,1.035101399,9286.75,2.537190083,219.35,181.5,39812.025,1.208539945,288.25,345,99446.25,0.835507246,109,154,16786,0.707792208,116,186,21576,0.623655914,12.5,25,312.5,0.5,257.5,215,55362.5,1.197674419,288,244,70272,1.180327869,487.75,450,219487.5,1.083888889,5696.25,2400,13671000,2.3734375,3795,2190,8311050,1.732876712,16300,46990,765937000,0.346882315,689.25,1415,975288.75,0.487102473,59389.175,65899.5,3913716938,0.901208279,3169,1062.3,3366428.7,2.983149769,3157.5,1460,4609950,2.162671233,20600,14700,302820000,1.401360544,5400,2200,11880000,2.454545455,13109.8,4786.7,62752679.66,2.738797084,575,400,230000,1.4375,0,0,965.5,814,785917,1.186117936,2315,860,1990900,2.691860465
0.145,85,15,0,0,90,10,0,0,,,0,156.95,61.65,1.041296168,9675.9675,2.545823195,224.155,182.72,40957.6016,1.226767732,237,346.9,82215.3,0.683194004,90.65,151.9,13769.735,0.596774194,109.35,184.4,20164.14,0.593004338,5,23.8,119,0.210084034,265.5,216.5,57480.75,1.226327945,300.95,245.3,73823.035,1.226865063,330.95,470.1,155579.595,0.703999149,7022.8,2398,16840674.4,2.928607173,4579,2197,10060063,2.084205735,17973,48379,869515767,0.371504165,733.3,1483.5,1087850.55,0.494304011,51572.895,66015.28,3404599104,0.781226634,3615.2,1095.97,3962150.744,3.298630437,3716.5,1493,5548734.5,2.489283322,21995,14830,326185850,1.483142279,5060,2380,12042800,2.12605042,12273.965,5220.27,64073411.27,2.351212677,570,410,233700,1.390243902,-10,-5,710.3,863.3,613201.99,0.82277308,2085.5,831,1733050.5,2.509626955
0.069,72,28,0,0,92.5,7.5,0,0,,,0,153.44,61.3625,1.03045703,9415.462,2.50055001,219.956,182.415,40123.27374,1.205799962,234.4,346.425,81202.02,0.676625532,92.08,152.425,14035.294,0.604100377,110.52,184.8,20424.096,0.598051948,5,24.1,120.5,0.20746888,261.6,216.125,56538.3,1.210410642,297.44,244.975,72865.364,1.214164711,304.04,465.075,141401.403,0.65374402,10500.56,2398.5,25185593.16,4.377969564,6952.8,2195.25,15263134.2,3.167201913,17949.6,48031.75,862150699.8,0.373702811,751.76,1466.375,1102362.07,0.512665587,52703.024,65986.335,3477679397,0.798696033,3460.24,1087.5525,3763192.663,3.181676287,3496.8,1484.75,5191873.8,2.355143964,21644,14797.5,320277090,1.462679507,4592,2335,10722320,1.966595289,11009.728,5111.8775,56280380.84,2.153754271,544,407.5,221680,1.334969325,-7.5,-20.5,668.96,850.975,569268.236,0.78611005,2107.6,838.25,1766695.7,2.514285714
0.067,70,30,0,0,93.75,6.25,0,0,,,0,152.9,61.21875,1.029295542,9360.346875,2.497600817,219.31,182.2625,39971.98888,1.203264522,234,346.1875,81007.875,0.675934284,92.3,152.6875,14093.05625,0.604502661,110.7,185,20479.5,0.598378378,5,24.25,121.25,0.206185567,261,215.9375,56359.6875,1.208683068,296.9,244.8125,72684.83125,1.212764871,299.9,462.5625,138722.4938,0.648344818,11035.6,2398.75,26471645.5,4.600562793,7318,2194.375,16058436.25,3.334890345,17946,47858.125,858861911.3,0.374983349,754.6,1457.8125,1100065.313,0.517624866,52876.89,65971.8625,3488386917,0.801506703,3436.4,1083.34375,3722802.463,3.172031038,3463,1480.625,5127404.375,2.338877163,21590,14781.25,319127187.5,1.460634249,4520,2312.5,10452500,1.954594595,10815.23,5057.68125,54699985.99,2.138377147,540,406.25,219375,1.329230769,-6.25,-23.75,662.6,844.8125,559772.7625,0.784316046,2111,841.875,1777198.125,2.507498144
0.038,68,32,0,0,95,5,0,0,,,0,152.36,61.075,1.028132394,9305.387,2.49463774,218.664,182.11,39820.90104,1.200724837,233.6,345.95,80813.92,0.675242087,92.52,152.95,14150.934,0.604903563,110.88,185.2,20534.976,0.598704104,5,24.4,122,0.204918033,260.4,215.75,56181.3,1.206952491,296.36,244.65,72504.474,1.211363172,295.76,460.05,136064.388,0.642886643,11570.64,2399,27757965.36,4.823109629,7683.2,2193.5,16853099.2,3.50271256,17942.4,47684.5,855574372.8,0.376273212,757.44,1449.25,1097719.92,0.522642746,53050.756,65957.39,3499089403,0.804318606,3412.56,1079.135,3682612.936,3.162310554,3429.2,1476.5,5063213.8,2.322519472,21536,14765,317979040,1.45858449,4448,2290,10185920,1.942358079,10620.732,5003.485,53140673.25,2.122666901,536,405,217080,1.32345679,-5,-27,656.24,838.65,550355.676,0.782495678,2114.4,845.5,1787725.2,2.500768776
