»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Version:			4.6.11
»»»  Vision Version:		4.6.5 (R)
»»»  Vision Compiled:		7 December 2011
»»»  Driver Version:		4.6.17
»»»  Tester Name:		PPM21211-813
»»»  Tester S/N:		PPM21211-813                    
»»»  Internal Amp Type:		No Internal Amp
»»»  Internal Amp S/N:		100000
»»»  Execution Count:		0
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:				9/22/2023 - 16:17:15
Configured:			09/22/23 03:55:16 PM
Executed:			09/22/23 04:16:46 PM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:			
Lot Name:			
Wafer Name:			
Die Row/Column:			0/0
Capacitor Number:		0
Sample Area (cm2):		9.46e-001
Sample Thickness (µm):		1.14e+003

Mux Loop Adjustment:		Disabled

Amplifier:			High Voltage (HVA)
HVI Channel/Port:		1/1
Drive Gain Factor:			1000.00r
Drive Voltage Limit:			4000.00r

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:			PPM21211-813
Tester Serial Number:		PPM21211-813                    
Return Signal Amp. Level:	0.00019

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:			Hyst-2
Volts:				2272.00
Field:				20.00 (kV/cm)
Hysteresis Period (ms):		1.00e+002
Preset:				Enabled
Preset Delay (ms):		1.00e+002
Profile:			Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:				1017

Valid Data

Point		Time (ms)	Field (kV/cm)	Measured Polarization
   1		9.8500e-002	-0.0101		-5.1755
   2		1.9700e-001	0.0060		-5.1645
   3		2.9550e-001	0.0376		-5.1488
   4		3.9400e-001	0.0826		-5.1318
   5		4.9250e-001	0.1491		-5.1093
   6		5.9100e-001	0.1820		-5.0699
   7		6.8950e-001	0.2465		-5.0309
   8		7.8800e-001	0.3130		-4.9651
   9		8.8650e-001	0.3768		-4.8964
  10		9.8500e-001	0.4513		-4.8166
  11		1.0835e+000	0.5151		-4.7106
  12		1.1820e+000	0.5816		-4.5914
  13		1.2805e+000	0.6588		-4.4506
  14		1.3790e+000	0.7247		-4.2924
  15		1.4775e+000	0.7979		-4.1163
  16		1.5760e+000	0.8717		-3.9212
  17		1.6745e+000	0.9718		-3.7100
  18		1.7730e+000	1.0343		-3.4716
  19		1.8715e+000	1.1048		-3.2078
  20		1.9700e+000	1.1867		-2.9329
  21		2.0685e+000	1.2653		-2.6288
  22		2.1670e+000	1.3392		-2.2971
  23		2.2655e+000	1.4251		-1.9459
  24		2.3640e+000	1.4789		-1.5747
  25		2.4625e+000	1.5682		-1.1836
  26		2.5610e+000	1.6528		-0.7832
  27		2.6595e+000	1.7347		-0.3671
  28		2.7580e+000	1.8059		0.0524
  29		2.8565e+000	1.8865		0.4693
  30		2.9550e+000	1.9732		0.8799
  31		3.0535e+000	2.0517		1.2787
  32		3.1520e+000	2.1189		1.6685
  33		3.2505e+000	2.2156		2.0388
  34		3.3490e+000	2.2808		2.3989
  35		3.4475e+000	2.3728		2.7416
  36		3.5460e+000	2.4352		3.0691
  37		3.6445e+000	2.5185		3.3885
  38		3.7430e+000	2.6246		3.6854
  39		3.8415e+000	2.6783		3.9734
  40		3.9400e+000	2.7482		4.2559
  41		4.0385e+000	2.8409		4.5159
  42		4.1370e+000	2.9067		4.7645
  43		4.2355e+000	2.9913		5.0075
  44		4.3340e+000	3.0699		5.2366
