»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis ««««««««««««««««««««««««««««««««««««
»»»  Version:			4.6.11
»»»  Vision Version:		4.6.5 (R)
»»»  Vision Compiled:		7 December 2011
»»»  Driver Version:		4.6.17
»»»  Tester Name:		PPM21211-813
»»»  Tester S/N:		PPM21211-813                    
»»»  Internal Amp Type:		No Internal Amp
»»»  Internal Amp S/N:		100000
»»»  Execution Count:		0
»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»««««««««««««««««««««««««««««««««««««««««««

Stored:				1/16/2024 - 11:22:53
Configured:			01/16/24 11:09:13 AM
Executed:			01/16/24 11:22:25 AM

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Sample Info ««««««««««««««««««««««««««««««««««««
Sample Name:			
Lot Name:			
Wafer Name:			
Die Row/Column:			0/0
Capacitor Number:		0
Sample Area (cm2):		1.03e+000
Sample Thickness (µm):		1.15e+003

Mux Loop Adjustment:		Disabled

Amplifier:			High Voltage (HVA)
HVI Channel/Port:		1/1
Drive Gain Factor:			1000.00r
Drive Voltage Limit:			4000.00r

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Tester Info «««««««««««««««««««««««««««««««««««
Tester Name:			PPM21211-813
Tester Serial Number:		PPM21211-813                    
Return Signal Amp. Level:	0.00019

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Hysteresis Info ««««««««««««««««««««««««««««««««««
Task Name:			Hyst-2
Volts:				2300.00
Field:				20.00 (kV/cm)
Hysteresis Period (ms):		1.00e+002
Preset:				Enabled
Preset Delay (ms):		1.00e+002
Profile:			Standard Bipolar

»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»»» Data «««««««««««««««««««««««««««««««««««««««
Points:				1017

Valid Data

Point		Time (ms)	Field (kV/cm)	Measured Polarization
   1		9.8500e-002	-0.0119		-3.3137
   2		1.9700e-001	-0.0013		-3.3055
   3		2.9550e-001	0.0352		-3.2895
   4		3.9400e-001	0.0770		-3.2703
   5		4.9250e-001	0.1353		-3.2453
   6		5.9100e-001	0.1924		-3.1987
   7		6.8950e-001	0.2355		-3.1400
   8		7.8800e-001	0.3025		-3.0599
   9		8.8650e-001	0.3755		-2.9578
  10		9.8500e-001	0.4266		-2.8447
  11		1.0835e+000	0.5095		-2.6969
  12		1.1820e+000	0.5752		-2.5201
  13		1.2805e+000	0.6654		-2.3230
  14		1.3790e+000	0.7357		-2.1016
  15		1.4775e+000	0.7974		-1.8458
  16		1.5760e+000	0.8651		-1.5747
  17		1.6745e+000	0.9467		-1.2892
  18		1.7730e+000	1.0243		-0.9653
  19		1.8715e+000	1.1092		-0.6383
  20		1.9700e+000	1.1908		-0.2934
  21		2.0685e+000	1.2738		0.0422
  22		2.1670e+000	1.3368		0.3798
  23		2.2655e+000	1.4350		0.7040
  24		2.3640e+000	1.5046		1.0158
  25		2.4625e+000	1.5750		1.3115
  26		2.5610e+000	1.6493		1.5915
  27		2.6595e+000	1.7296		1.8552
  28		2.7580e+000	1.8151		2.1168
  29		2.8565e+000	1.9060		2.3554
  30		2.9550e+000	1.9803		2.5870
  31		3.0535e+000	2.0626		2.8021
  32		3.1520e+000	2.1230		3.0145
  33		3.2505e+000	2.2085		3.2148
  34		3.3490e+000	2.2842		3.4107
  35		3.4475e+000	2.3518		3.5934
  36		3.5460e+000	2.4381		3.7760
  37		3.6445e+000	2.5277		3.9395
  38		3.7430e+000	2.5986		4.1124
  39		3.8415e+000	2.6769		4.2681
  40		3.9400e+000	2.7539		4.4159
  41		4.0385e+000	2.8295		4.5665
  42		4.1370e+000	2.9058		4.7046
  43		4.2355e+000	2.9867		4.8454
  44		4.3340e+000	3.0597		4.9772
  45		4.4325e+000	3.1493		5.1028
  46		4.5310e+000	3.2315		5.2307
  47		4.6295e+000	3.3065		5.3492
  48		4.7280e+000	3.3629		5.4716
  49		4.8265e+000	3.4724		5.5835
  50		4.9250e+000	3.5380		5.6867
  51		5.0235e+000	3.6130		5.7927
  52		5.1220e+000	3.6979		5.8964
  53		5.2205e+000	3.7683		6.0012
  54		5.3190e+000	3.8578		6.0994
  55		5.4175e+000	3.9421		6.1917
  56		5.5160e+000	4.0131		6.2856
  57		5.6145e+000	4.1006		6.3810
  58		5.7130e+000	4.1676		6.4698
  59		5.8115e+000	4.2426		6.5535
  60		5.9100e+000	4.3123		6.6290
  61		6.0085e+000	4.3978		6.7162
  62		6.1070e+000	4.4728		6.7937
  63		6.2055e+000	4.5697		6.8770
  64		6.3040e+000	4.6453		6.9493
  65		6.4025e+000	4.7262		7.0232
  66		6.5010e+000	4.7913		7.0944
  67		6.5995e+000	4.8596		7.1676
  68		6.6980e+000	4.9458		7.2384
  69		6.7965e+000	5.0301		7.3029
  70		6.8950e+000	5.1104		7.3741
  71		6.9935e+000	5.1913		7.4398
  72		7.0920e+000	5.2782		7.5055
  73		7.1905e+000	5.3585		7.5712
  74		7.2890e+000	5.4321		7.6330
  75		7.3875e+000	5.4965		7.6897
  76		7.4860e+000	5.5854		7.7543
  77		7.5845e+000	5.6610		7.8137
  78		7.6830e+000	5.7453		7.8736
  79		7.7815e+000	5.8355		7.9248
  80		7.8800e+000	5.9032		7.9772
  81		7.9785e+000	5.9814		8.0410
  82		8.0770e+000	6.0511		8.0860
  83		8.1755e+000	6.1261		8.1403
  84		8.2740e+000	6.2050		8.1998
  85		8.3725e+000	6.3065		8.2412
  86		8.4710e+000	6.3735		8.2901
  87		8.5695e+000	6.4512		8.3433
  88		8.6680e+000	6.5367		8.3914
  89		8.7665e+000	6.6163		8.4427
  90		8.8650e+000	6.6847		8.4869
  91		8.9635e+000	6.7709		8.5346
  92		9.0620e+000	6.8386		8.5792
  93		9.1605e+000	6.9308		8.6195
  94		9.2590e+000	6.9925		8.6688
  95		9.3575e+000	7.0927		8.7149
  96		9.4560e+000	7.1517		8.7572
  97		9.5545e+000	7.2353		8.7978
  98		9.6530e+000	7.3043		8.8401
  99		9.7515e+000	7.3733		8.8831
 100		9.8500e+000	7.4688		8.9214
 101		9.9485e+000	7.5498		8.9613
 102		1.0047e+001	7.6334		8.9997
 103		1.0146e+001	7.6898		9.0443
 104		1.0244e+001	7.7833		9.0818
 105		1.0342e+001	7.8609		9.1162
 106		1.0441e+001	7.9306		9.1585
 107		1.0540e+001	8.0168		9.1944
 108		1.0638e+001	8.0878		9.2293
 109		1.0736e+001	8.1800		9.2621
 110		1.0835e+001	8.2530		9.3020
 111		1.0934e+001	8.3399		9.3364
 112		1.1032e+001	8.4162		9.3716
 113		1.1131e+001	8.4965		9.4061
 114		1.1229e+001	8.5549		9.4393
 115		1.1328e+001	8.6292		9.4757
 116		1.1426e+001	8.7167		9.5089
 117		1.1525e+001	8.8083		9.5465
 118		1.1623e+001	8.8846		9.5715
 119		1.1722e+001	8.9569		9.6091
 120		1.1820e+001	9.0564		9.6396
 121		1.1919e+001	9.1248		9.6709
 122		1.2017e+001	9.1798		9.7041
 123		1.2116e+001	9.2687		9.7346
 124		1.2214e+001	9.3410		9.7624
 125		1.2313e+001	9.4279		9.7952
 126		1.2411e+001	9.5036		9.8250
 127		1.2509e+001	9.5984		9.8527
 128		1.2608e+001	9.6734		9.8840
 129		1.2707e+001	9.7490		9.9157
 130		1.2805e+001	9.8114		9.9454
 131		1.2903e+001	9.9030		9.9720
 132		1.3002e+001	9.9720		10.0021
 133		1.3101e+001	10.0595		10.0315
 134		1.3199e+001	10.1285		10.0557
 135		1.3297e+001	10.2108		10.0843
 136		1.3396e+001	10.2891		10.1105
 137		1.3495e+001	10.3707		10.1422
 138		1.3593e+001	10.4509		10.1613
 139		1.3692e+001	10.5272		10.1911
 140		1.3790e+001	10.5996		10.2149
 141		1.3889e+001	10.6792		10.2486
 142		1.3987e+001	10.7468		10.2673
 143		1.4086e+001	10.8410		10.2986
 144		1.4184e+001	10.9193		10.3178
 145		1.4283e+001	10.9910		10.3444
 146		1.4381e+001	11.0606		10.3741
 147		1.4480e+001	11.1502		10.3909
 148		1.4578e+001	11.2272		10.4187
 149		1.4677e+001	11.2981		10.4426
 150		1.4775e+001	11.3817		10.4680
 151		1.4874e+001	11.4653		10.4915
 152		1.4972e+001	11.5436		10.5134
 153		1.5070e+001	11.6126		10.5411
 154		1.5169e+001	11.6849		10.5646
 155		1.5268e+001	11.7844		10.5826
 156		1.5366e+001	11.8494		10.6076
 157		1.5464e+001	11.9344		10.6319
 158		1.5563e+001	12.0007		10.6522
 159		1.5662e+001	12.0942		10.6784
 160		1.5760e+001	12.1652		10.6941
 161		1.5858e+001	12.2535		10.7160
 162		1.5957e+001	12.3258		10.7410
 163		1.6055e+001	12.3988		10.7590
 164		1.6154e+001	12.4731		10.7872
 165		1.6253e+001	12.5567		10.8091
 166		1.6351e+001	12.6389		10.8243
 167		1.6450e+001	12.7258		10.8470
 168		1.6548e+001	12.8127		10.8662
 169		1.6647e+001	12.8764		10.8873
 170		1.6745e+001	12.9421		10.9072
 171		1.6843e+001	13.0184		10.9327
 172		1.6942e+001	13.0980		10.9460
 173		1.7041e+001	13.1763		10.9643
 174		1.7139e+001	13.2625		10.9952
 175		1.7238e+001	13.3408		11.0093
 176		1.7336e+001	13.4058		11.0269
 177		1.7435e+001	13.5067		11.0512
 178		1.7533e+001	13.5671		11.0707
 179		1.7631e+001	13.6473		11.0919
 180		1.7730e+001	13.7376		11.1040
 181		1.7828e+001	13.8125		11.1239
 182		1.7927e+001	13.8888		11.1423
 183		1.8026e+001	13.9790		11.1646
 184		1.8124e+001	14.0600		11.1818
 185		1.8223e+001	14.1303		11.2010
 186		1.8321e+001	14.1986		11.2205
 187		1.8419e+001	14.2829		11.2401
 188		1.8518e+001	14.3598		11.2538
 189		1.8616e+001	14.4461		11.2749
 190		1.8715e+001	14.5058		11.2894
 191		1.8814e+001	14.6106		11.3089
 192		1.8912e+001	14.6697		11.3238
 193		1.9011e+001	14.7526		11.3445
 194		1.9109e+001	14.8276		11.3637
 195		1.9208e+001	14.9092		11.3762
 196		1.9306e+001	14.9914		11.3965
 197		1.9404e+001	15.0737		11.4185
 198		1.9503e+001	15.1400		11.4259
 199		1.9602e+001	15.2263		11.4470
 200		1.9700e+001	15.2979		11.4662
 201		1.9799e+001	15.3736		11.4787
 202		1.9897e+001	15.4538		11.4971
 203		1.9996e+001	15.5315		11.5151
 204		2.0094e+001	15.6144		11.5241
 205		2.0192e+001	15.7020		11.5514
 206		2.0291e+001	15.7995		11.5620
 207		2.0390e+001	15.8492		11.5792
 208		2.0488e+001	15.9308		11.5925
 209		2.0587e+001	16.0184		11.6125
 210		2.0685e+001	16.0828		11.6285
 211		2.0784e+001	16.1617		11.6449
 212		2.0882e+001	16.2473		11.6610
 213		2.0980e+001	16.3349		11.6707
 214		2.1079e+001	16.3959		11.6919
 215		2.1177e+001	16.4941		11.7036
 216		2.1276e+001	16.5598		11.7208
 217		2.1375e+001	16.6487		11.7384
 218		2.1473e+001	16.7236		11.7517
 219		2.1572e+001	16.8026		11.7634
 220		2.1670e+001	16.8829		11.7810
 221		2.1769e+001	16.9691		11.7939
 222		2.1867e+001	17.0454		11.8119
 223		2.1965e+001	17.1197		11.8264
 224		2.2064e+001	17.1960		11.8409
 225		2.2163e+001	17.2743		11.8530
 226		2.2261e+001	17.3360		11.8679
 227		2.2360e+001	17.4302		11.8823
 228		2.2458e+001	17.5078		11.9003
 229		2.2557e+001	17.5894		11.9101
 230		2.2655e+001	17.6829		11.9265
 231		2.2753e+001	17.7473		11.9445
 232		2.2852e+001	17.8223		11.9504
 233		2.2951e+001	17.9191		11.9692
 234		2.3049e+001	17.9689		11.9833
 235		2.3148e+001	18.0498		11.9962
 236		2.3246e+001	18.1361		12.0075
 237		2.3345e+001	18.2250		12.0173
 238		2.3443e+001	18.2960		12.0376
 239		2.3541e+001	18.3630		12.0576
 240		2.3640e+001	18.4406		12.0646
 241		2.3738e+001	18.5255		12.0771
 242		2.3837e+001	18.6011		12.0916
 243		2.3936e+001	18.6801		12.1076
 244		2.4034e+001	18.7657		12.1229
 245		2.4133e+001	18.8433		12.1323
 246		2.4231e+001	18.9116		12.1440
 247		2.4329e+001	19.0018		12.1581
 248		2.4428e+001	19.0741		12.1706
 249		2.4526e+001	19.1637		12.1831
 250		2.4625e+001	19.2374		12.1980
 251		2.4724e+001	19.3143		12.2109
 252		2.4822e+001	19.3866		12.2222
 253		2.4921e+001	19.4828		12.2367
 254		2.5019e+001	19.5531		12.2461
 255		2.5118e+001	19.6274		12.2578
 256		2.5216e+001	19.6420		12.2664
 257		2.5314e+001	19.6812		12.2774
 258		2.5413e+001	19.6659		12.2797
 259		2.5512e+001	19.6414		12.2833
 260		2.5610e+001	19.6155		12.2821
 261		2.5709e+001	19.5989		12.2778
 262		2.5807e+001	19.5173		12.2786
 263		2.5906e+001	19.4742		12.2774
 264		2.6004e+001	19.4211		12.2750
 265		2.6102e+001	19.3621		12.2707
 266		2.6201e+001	19.2997		12.2727
 267		2.6299e+001	19.2281		12.2711
 268		2.6398e+001	19.1657		12.2590
 269		2.6497e+001	19.0914		12.2531
